neighborhood,LU_1,LU_2,LU_3,LU_4,LU_5,LU_6,LU_7,LU_8,LU_9,LU_10,LU_11,LU_12
Alsuma,-,1,0.76,1,1,-,1,0.93,-,0.63,1,0
Berryhill,0.17,0.04,0.03,0.23,0.14,-,0.49,0.26,-,0.75,0.15,-
Booker T Washington,0.92,0.43,0.62,0.18,0.52,-,1,0.41,-,0.99,-,0.02
Braden Park,0.43,0.47,0.77,0.72,0.72,-,0.86,0.89,0.31,0.91,0.87,-
Briarglen-Plaza,0.15,0.11,0.47,0.58,0.68,-,1,0.85,-,0.48,0.13,0.01
Bryn Mawr-Lakewood,0.25,0.94,0.78,0.94,0.68,0.14,0.45,0.9,0.19,0.43,0.64,-
Chamberlain,0.44,0.11,0.66,0.26,0.42,0.1,0.89,0.52,-,0.88,0.12,0.78
Charles Page,0.26,0.03,0.57,0.5,0.22,-,0.9,0.54,0.23,0.82,0.12,1
Cherokee Heights,0.34,0.4,0.67,0.83,0.95,0.16,1,0.82,-,1,0.49,-
Cherry Street,0.58,1,1,1,1,-,1,1,0.31,0.82,1,0.01
Cooper,0.62,0.49,0.6,0.45,0.42,-,1,0.48,-,0.96,0.4,-
Crutchfield,-,0.03,0.1,0.62,0.37,-,1,0.22,-,0.92,1,0.1
Crystal Creek-Quail Ridge,0.04,0.04,0.15,0.43,0.15,-,0.5,0.15,0.02,0.17,0.01,-
Downtown,0.94,1,1,1,1,0.52,1,1,0.84,0.88,1,1
Dunbar-Greenwood,0.49,0.67,0.89,0.45,0.51,0.19,1,0.77,-,1,0.18,-
East Brookside,0.47,0.61,0.87,0.88,0.82,-,0.88,0.73,0,0.7,0.79,-
East Woods,-,-,-,0.3,0.22,-,0.47,0.22,0,0.8,0,0.69
Eastland,0.52,0.46,0.52,0.59,0.55,0.21,0.99,0.86,0.05,0.88,0.11,-
Eugene Field,0.35,0.6,0.47,0.6,0.6,-,1,0.34,-,0.6,-,1
Fair,0.64,0.99,0.97,0.89,0.99,-,0.86,1,0.51,0.96,1,-
Fair Oaks,-,-,-,-,-,-,-,-,-,-,-,-
Flat Rock Creek,0.75,0.06,0.52,0.57,0.16,-,1,0.36,-,0.98,0.36,1
Garden City,0.02,0.13,0.08,0.11,0.11,-,0.96,0.11,-,0.61,0.23,0.08
Gilcrease Hills,0.39,0.32,0.41,0.36,0.42,-,0.89,0.58,-,0.16,0.56,0.96
Grissom-Thoreau,0.43,0.77,0.71,0.79,0.65,-,0.99,0.82,0.11,0.51,0.93,-
Harvard Bend,0.05,0.82,0.63,0.78,0.47,-,0.64,0.72,0.05,0.12,0.57,-
Hawthorne,0.17,0.46,0.55,0.65,0.53,-,1,0.52,-,1,0.26,0.92
Hoover,0.54,0.68,0.79,0.96,0.7,0.25,0.66,0.94,0.34,0.66,1,-
Hunter Park,0.14,0.77,0.46,0.78,0.69,0.06,0.86,0.73,0.01,0.47,0.89,-
Irving,0.47,0.62,0.62,0.69,0.7,-,0.97,0.61,0.01,0.97,1,1
Kendall-Whittier,0.98,0.84,0.82,0.99,0.88,0.2,1,0.94,0,1,1,-
Kensington,0.22,0.73,0.83,0.74,0.67,-,0.9,0.92,-,0.34,1,0.09
Layman-Clarland,0.71,0.08,0.16,0.39,0.5,-,1,0.48,-,0.83,0.05,0.35
Leisure Lanes,0.56,0.85,0.87,0.9,0.96,-,0.98,0.92,0.26,0.95,1,0.78
Lloyd Park,0.33,0.14,0.65,0.17,0.28,-,0.83,0.4,-,0.94,-,-
Longview,0.4,0.86,0.5,0.91,0.84,-,0.96,0.97,0.2,0.33,0.65,0.42
Louisville Heights,0.5,0.37,0.13,0.34,0.54,-,0.93,0.27,0.12,0.71,-,0.19
Maple Ridge,0.56,0.81,0.66,0.94,0.97,-,1,0.93,0.2,0.79,1,-
Maplewood,0.35,0.32,0.66,0.48,0.49,0.28,0.95,0.78,0.19,0.92,0.21,0.07
Mayo,0.08,0.93,0.82,0.62,0.65,0.12,0.57,0.76,0.11,0.67,1,-
McClure Park,0.37,0.92,0.77,0.9,0.83,-,0.95,1,0.25,0.97,1,-
McKinley-Mitchell,0.65,0.32,0.51,0.64,0.56,-,0.99,0.62,0.06,0.69,0.46,0.05
Metcalfe-Magic Circle,0.26,0.8,0.66,0.91,0.77,-,0.99,0.93,0.22,0.58,0.32,0.31
Mingo Valley,0.62,0.25,0.25,0.6,0.57,-,0.67,0.66,0.4,0.63,0.23,0.98
Mohawk Park-Dawson,0.39,0.51,0.46,0.49,0.67,-,0.93,0.71,0.4,0.9,0.01,-
North Ridge,0.55,0.01,0.53,0.5,0.34,-,0.99,0.35,-,0.85,-,0.92
Osage Hills,0,0.06,0.05,0,0.05,-,0.09,0.05,0.05,0.02,0.02,-
Park Plaza,0.73,0.98,0.92,0.99,0.96,0.03,0.63,0.95,0.73,0.47,1,0.11
Patrick Henry,0.17,0.84,0.56,0.66,0.58,-,0.87,0.81,0.21,0.19,0.82,-
Pearl,0.2,0.99,0.95,1,1,0.2,1,1,0.29,0.98,1,0.2
Ranch Acres,0.21,0.48,0.64,0.49,0.48,0.17,0.07,0.6,0.1,0.72,0.55,-
Red Fork,0.35,0.57,0.57,0.55,0.64,0.11,0.99,0.78,-,0.99,1,-
Regency-Woodland,0,0.72,0.61,0.78,0.68,-,1,0.85,0.01,0.67,1,0.33
Renaissance-Florence Park,0.67,1,0.84,1,0.96,-,1,1,0.18,0.84,1,-
Reservoir Hill-The Heights,0.47,0.39,0.81,0.6,0.55,-,1,0.59,0.03,0.93,0.22,0.11
Riverview,0.09,1,1,1,0.94,-,1,1,-,0.72,1,-
Riverwood,0.26,0.76,0.81,0.78,0.75,-,0.99,0.81,0.05,0.71,0.84,0.09
Sequoyah,0.69,0.09,0.4,0.53,0.54,0.05,0.99,0.7,0.15,0.87,0.35,0.13
South Brookside,0.58,0.93,0.56,0.93,0.82,0.32,0.96,0.85,0.44,0.72,0.99,-
South Point,0.12,0.34,0.15,0.3,0.18,-,0.29,0.3,0.02,0.18,0.16,-
South Ridge,0.23,0.44,0.36,0.45,0.41,0.16,0.47,0.63,-,0.45,0.74,-
Southern Hills,0.12,0.81,0.83,0.85,0.57,-,0.88,0.79,0.33,0.52,0.95,-
Southroads-Briarwood,0.48,0.77,0.76,0.69,0.77,-,0.68,0.75,0.31,0.3,0.94,-
Springdale,0.48,0.39,0.71,0.78,0.73,-,0.96,0.69,0.11,0.99,-,0
Spunky Creek,0.01,-,0.37,0.17,-,-,0.51,0.14,-,0.09,-,-
Stone Ridge,0.04,0.07,-,0.24,-,-,0.34,0.24,-,0.13,0.21,-
Sungate,0.36,0.9,0.89,0.86,0.71,0.05,1,0.87,0.04,0.61,1,-
Terrace,0.56,0.69,0.71,0.63,0.72,0.16,0.75,0.78,0.31,0.4,1,-
Tower Heights,0.15,0.43,0.72,0.67,0.66,-,0.76,0.67,0.12,0.77,0.77,0.29
Tulsa Hills,0.15,0.24,0.26,0.45,0.58,-,0.2,0.06,-,0.34,0.28,-
Turkey Mountain,0.22,0.43,0.47,0.5,0.3,-,0.89,0.48,0.24,0.61,0.08,0.28
Turner Park,0.83,0.33,0.68,0.42,0.64,-,1,0.86,0.1,0.98,0.9,0.42
Vensel Creek,0.1,0.76,0.42,0.76,0.65,0.02,0.63,0.73,0.02,0.32,0.63,-
Walt Whitman,0.81,0.31,0.81,0.21,0.56,0.34,0.58,0.76,-,0.84,0.17,1
Wedgwood-Crowell Heights,0.49,0.36,0.94,0.89,0.72,0.02,0.7,1,0.07,1,0.82,-
West Brookside,0.21,0.88,0.71,0.94,0.95,0.06,1,0.97,0.17,0.82,1,-
Western Village,0.27,0.43,0.5,0.47,0.28,-,0.98,0.78,0.29,0.7,0.19,0.02
Whiteside,0.28,0.94,0.79,0.97,0.9,0.19,0.91,1,0.52,0.84,1,-
Woodland Hills,0.28,0.68,0.29,0.83,0.78,-,0.73,0.88,-,0.2,0.96,-
Woodward Park,0.38,0.72,0.49,0.87,0.6,-,0.81,0.72,0.2,0.53,0.9,-